Station No: A
Data Type: Rating Table
Left Column= Stage in m
Right Column= Discharge im m3/s

Rating Type No =  8
From Date = 21-Jul-2011
To Date = 15-Jul-2012
From Stage = 1.0
1,59.6
1.1,70.2
1.2,81.5
1.3,93.5
1.4,106
1.5,119
1.6,133
1.7,148
1.8,163
1.9,179
2,195
2.1,212
2.2,229
2.3,247
2.4,266
2.5,285
2.6,305
2.7,325
2.8,345
2.9,367
3,388
3.1,411
3.2,433
3.3,458
3.4,479
3.5,500
3.6,522
3.7,544
3.8,567
3.9,590
4,614
4.1,638
4.2,662
4.3,687
4.4,712
4.5,738
4.6,764
4.7,791
4.8,818
4.9,846
5,874
5.1,902
5.2,931
5.3,961
5.4,991
5.5,1021
5.6,1052
5.7,1083
5.8,1115
5.9,1147
6,1179
6.1,1212
6.2,1246
6.3,1280
6.4,1314
6.5,1349
6.6,1384
6.7,1420
6.8,1456
6.9,1493
7,1530
7.1,1567
7.2,1605
7.3,1644
7.4,1683
7.5,1722
7.6,1762
7.7,1802
7.8,1842
7.9,1884
8,1925
8.1,1967
8.2,2010
8.3,2052
8.4,2096
8.5,2140
8.6,2184
8.7,2228
8.8,2274
8.9,2319
9,2365
9.1,2412
9.2,2459
9.3,2506
9.4,2554
9.5,2602
9.6,2651
9.7,2700
9.8,2749
9.9,2799
10,2850
10.1,2901
10.2,2952
10.3,3004
10.4,3056
10.5,3109
10.6,3162
10.7,3216
10.8,3270
10.9,3324
11,3379
11.1,3434
11.2,3490
11.3,3546
11.4,3603
11.5,3660
11.6,3718
11.7,3776
11.8,3834
11.9,3893
12,3953
12.1,4012
12.2,4073
12.3,4133
12.4,4194
12.5,4256
12.6,4318
12.7,4380
12.8,4443
12.9,4507
13,4571
13.1,4635
13.2,4699
13.3,4764
13.4,4830
13.5,4896
13.6,4962
13.7,5029
13.8,5097
13.9,5164
14,5233
